name,meaning
추징,몰수할 수 있는 물건 중 범죄행위에 의하여 생기거나 또는 그것에 의하여 취득한 물건의 대가로서 취득한 물건의 전부 또는 일부가 소비되었거나 분실 기타의 사유로몰수할 수 없는 경우에는 그 물건에 상당하는 가액을 납부하게 하는 사법처분임.
몰수,범죄행위와 관계있는 일정한 물건을 박탈하여 국고에 귀속시키는 형벌임.
구류,수형자를 교도소 내에 구치하는 것으로 30일 미만의 형벌임.
금고,수형자를 교도소 내에 구치하여 자유를 박탈하나 정역을 부과하지 아니하는 형벌임.
징역,수형자를 교도소 내에 구치하여 정역에 복무하게 하는 형벌임.
구금,재판확정 전에 피고인 또는 피의자를 일정기간 동안 교도소 또는 구치소에 구치하는 법원의 강제처분임.
집행유예,일단 유죄를 인정하여 형을 선고하되 일정한 요건 아래 일정한 기간 동안 그 형의 집행을 유예하고 그것이 취소 또는 실효됨이 없이 유예기간을 경과하면 형의 선고의 효력을 상실케 하는 제도임.
선고유예,"법원이 경미한 범죄인에 대해 형의 선고를 유예하고, 유예기간 2년을 사고 없이 경과하면 면소된 것으로 간주하는 제도임."
기소유예,검사가 피의사건에 관하여 범죄의 혐의가 인정되고 소송조건이 구비되었으나 여러 정황을 참작하여 공소를 제기하지 아니하는 것임.
벌금의 가납명령,벌금 또는 과료를 선고하는 경우 판결이 확정되기 이전에도 납부를 하도록 명하는 것.
약식명령,"약식절차에 의하여 행하여진 명령. 이는 검사의 약식명령청구에 의하여 법원이 변론 없이 하는 재판인데, 이 명령이 확정하면 판결과 동일한 효력을 가짐. 약식명령은 벌금, 과료, 몰수 등의 형을 부과할 사건에 대해서만 가능함. 약식명령을 받은 피고인이 이 명령에 불복이 있어 정식재판의 청구를 한 때에는 정식재판 절차가 개시되고 이 정식재판의 판결이 나면 약식명령은 효력을 잃음."
피해변제를 위한 공탁,피해자 및 유가족이 형사합의를 할 수 없거나 과다한 합의금을 요구할 때 피의자 또는 피고인이 양형에 유리한 자료로 사용하기 위하여 일정금원을 법원에 공탁하는 것을 말함.
주소변경신고,민사사건의 당사자 또는 형사사건의 피고인이 주소가 변경된 경우 이를 법원에 알리기 위하여 하는 신고. 관련법령상 주소변경신고는 의무사항이기 때문에 당사자와 피고인이 주소변경신고를 하지 않는 경우 소송 진행상 법령에 규정된 불이익을 받게 됨.
국선변호인,경제력 등의 사정으로 피고인이 변호인을 선임하지 못한 경우에 법원이 국가의 부담으로 선정해 주는 변호인. 피고인은 법원에 대하여 국선변호인을 선정해 줄 것을 청구할 수 있음.
배당이의,배당기일에 배당표원안에 적힌 각 채권자의 채권이나 배당액에 불복이 있는 이해관계인이 그 기일 중에 말로써(채무자의 경우 서면으로도 가능) 불복을 신청하는 것.
해방공탁,가압류의 집행을 정지시키거나 집행한 가압류를 취소시키기 위하여 채무자가 가압류명령에 기재된 해방 금액을 법원에 공탁하는 것.
가압류(가처분)결정에 대한 취소,가압류 또는 가처분 결정을 한 후 현재 그 보전처분을 유지할 필요가 없게 되었다는 것을 이유로 그 취소를 구하는 것.
가압류(가처분)결정에 대한 이의,가압류 또는 가처분 결정을 한 후 그 보전처분의 신청 내지 보전처분의 당부를 변론에 의하여 재심사 하는 것.
가처분,금전채권 이외의 특정한 권리 또는 법률관계에 관한 확정판결의 강제집행을 보전하기 위한 집행보전제도. 다툼의 대상(계쟁물)에 관한 가처분과 임시의 지위를 정하기 위한 가처분이 있음.
가압류,금전채권이나 금전으로 환산할 수 있는 채권의 집행을 보전할 목적으로 미리 채무자의 재산을 동결시켜 채무자로부터 그 재산에 대한 처분권을 잠정적으로 빼앗는 집행보전제도.
약식명령,"약식절차에 의하여 행하여진 명령. 이는 검사의 약식명령청구에 의하여 법원이 변론 없이 하는 재판인데, 이 명령이 확정하면 판결과 동일한 효력을 가짐. 약식명령은 벌금, 과료, 몰수 등의 형을 부과할 사건에 대해서만 가능함. 약식명령을 받은 피고인이 이 명령에 불복이 있어 정식재판의 청구를 한 때에는 정식재판 절차가 개시되고 이 정식재판의 판결이 나면 약식명령은 효력을 잃음."
피해변제를 위한 공탁,피해자 및 유가족이 형사합의를 할 수 없거나 과다한 합의금을 요구할 때 피의자 또는 피고인이 양형에 유리한 자료로 사용하기 위하여 일정금원을 법원에 공탁하는 것을 말함.
주소변경신고,민사사건의 당사자 또는 형사사건의 피고인이 주소가 변경된 경우 이를 법원에 알리기 위하여 하는 신고. 관련법령상 주소변경신고는 의무사항이기 때문에 당사자와 피고인이 주소변경신고를 하지 않는 경우 소송 진행상 법령에 규정된 불이익을 받게 됨.
국선변호인,경제력 등의 사정으로 피고인이 변호인을 선임하지 못한 경우에 법원이 국가의 부담으로 선정해 주는 변호인. 피고인은 법원에 대하여 국선변호인을 선정해 줄 것을 청구할 수 있음.
배당이의,배당기일에 배당표원안에 적힌 각 채권자의 채권이나 배당액에 불복이 있는 이해관계인이 그 기일 중에 말로써(채무자의 경우 서면으로도 가능) 불복을 신청하는 것.
해방공탁,가압류의 집행을 정지시키거나 집행한 가압류를 취소시키기 위하여 채무자가 가압류명령에 기재된 해방 금액을 법원에 공탁하는 것.
가압류(가처분)결정에 대한 취소,가압류 또는 가처분 결정을 한 후 현재 그 보전처분을 유지할 필요가 없게 되었다는 것을 이유로 그 취소를 구하는 것.
가압류(가처분)결정에 대한 이의,가압류 또는 가처분 결정을 한 후 그 보전처분의 신청 내지 보전처분의 당부를 변론에 의하여 재심사 하는 것.
가처분,금전채권 이외의 특정한 권리 또는 법률관계에 관한 확정판결의 강제집행을 보전하기 위한 집행보전제도. 다툼의 대상(계쟁물)에 관한 가처분과 임시의 지위를 정하기 위한 가처분이 있음.
가압류,금전채권이나 금전으로 환산할 수 있는 채권의 집행을 보전할 목적으로 미리 채무자의 재산을 동결시켜 채무자로부터 그 재산에 대한 처분권을 잠정적으로 빼앗는 집행보전제도.
"갑호증, 을호증, 병호증","원고가 제출하는 서증을 “갑”, 피고가 제출하는 것에는 “을”, 독립당사자참가인이 제출하는 것에는 “병”이라는 부호를 붙임. 제출한 증거가 여러 개이면 ‘갑1호증, 갑2호증, 갑3호증...’이라는 식으로 번호를 붙임."
서증인부,상대방이 제출한 증거서류의 진정 성립과 그 내용에 대하여 인정 여부를 밝히는 것.
문서송부촉탁신청,문서소지자를 상대로 그 문서를 법원에 보내도록 촉탁할 것을 신청하는 것.
사실조회,"공공기관, 학교, 그 밖의 단체 &#8228; 개인 또는 외국의 공공기관에게 그 업무에 속하는 특정사항에 관한 조사 또는 보관중인 문서의 등본, 사본의 송부를 촉탁함으로써 증거를 수집하는 절차를 말함."
