name,meaning
커뮤니티,"이런 뜻이에요	
비슷한 관심이나 목적을 가진 사람 여럿이 모여 있는 것.

또는 그런 모임을 뜻하기도 해요.
이렇게 쓰여요	
🤔 요즘 취업 때문에 고민이 많은데, 고민을 털어놓을 데가 없어.

🤗 취업 커뮤니티를 찾아보는 건 어때? 비슷한 고민을 가진 사람들이 많아서, 도움이 되는 정보를 얻을 수 있을 거야."
고답적,"이런 뜻이에요
실제 생활보다 실제 생활과 관련 없는 것을 더 훌륭하다고 생각하는 것.

예를 들어, 물건이 얼마나 싼지 비싼지 따지는 것보다, 세상은 어떻게 생겨났는지 고민하는 것을 더 훌륭하다고 생각하는 것이지요.
이렇게 쓰여요
🤔 어떤 토론회에 다녀왔는데, 지금 유행하는 것보다는 사랑, 평화 같은 보이지 않는 가치를 중요하게 생각하자는 쪽으로 의견이 모아졌어.
😀 고답적인 의견을 가진 사람이 많았구나."
홑벌이,"이런 뜻이에요 한 가정에서 한 사람만 돈을 버는 것.
이렇게 쓰여요
😀 오랜만이다. 요즘 어떻게 지내?
😔 요즘은 가족들 건강이 좀 안 좋아져서, 우리 집에서 내가 홑벌이를 하고 있어."
사상 사고,"이런 뜻이에요 사람이 죽거나 다치게 된 사고. 
이렇게 쓰여요 😣 근처에서 기차가 고장나서 사상 사고가 일어났대.
🥺 헉! 정말 큰일이다. 어쩐지 구급차가 많이 지나다니더라고."
행락철,"이런 뜻이에요
많은 사람이 놀러 가거나 여행을 떠나는 시기.

주로 봄, 가을처럼 날씨가 좋거나 주위 풍경이 아름다워서 놀러 가기 좋은 계절을 행락철이라고 한다.
이렇게 쓰여요
😮‍💨 행락철이라 그런지 도로에 차가 엄청 많아.
😥 교통사고가 나지 않게 조심하는 게 좋겠어."
금리,"이런 뜻이에요 은행에 빌리거나 맡긴 돈에 더해지는 이자의 비율.

은행에서 은행에 돈을 맡기거나 빌린 사람에게 이자를 어느 정도 줄지 정한 것을 말해요.

이율, 이자율이라고도 불러요.

예를 들어 내가 은행에 100만 원을 맡겼는데 금리가 1퍼센트(%)*라면, 정해진 기간마다 1만 원을 받을 수 있어요.

*퍼센트(%) : 전체 양을 100으로 했을 때, 어떤 것이 100중 얼마만큼인지 나타낸 것.

✔ 함께 알면 좋은 말 : 이자, 이율
이렇게 쓰여요 😢 작년과 비슷하게 돈을 은행에 저축했는데 작년보다 돈이 늘어나지 않았어.
😮 그래? 요즘 금리가 낮은가 보다!"
이율,"이런 뜻이에요 은행에 빌리거나 맡긴 돈에 더해지는 이자의 비율.

은행에서 은행에 돈을 맡기거나 빌린 사람에게 이자를 어느 정도 줄지 정한 것을 말해요.

금리라고도 불러요.

예를 들어 내가 은행에 100만 원을 맡겼는데 이율이 1퍼센트(%)*라면, 정해진 기간마다 1만 원을 받을 수 있어요.

*퍼센트(%) : 전체 양을 100으로 했을 때, 어떤 것이 100중 얼마만큼인지 나타낸 것.

✔ 함께 알면 좋은 말 : 이자, 금리
이렇게 쓰여요 🤔 돈을 모으고 싶은데, 어떻게 해야 할까?
😃 은행에 가서 상담해 봐! 돈을 맡길 때 받을 수 있는 이율도 잘 살펴보고!"
이자,"이런 뜻이에요 돈을 빌리거나 맡기는 동안, 그 돈에 더해 받거나 내는 돈.

내가 돈을 빌렸다면, 빌린 돈 중 얼마 만큼의 돈을 정해진 날마다 나눠서 내요.

내가 돈을 맡겼다면, 맡긴 돈 중 얼마 만큼의 돈을 정해진 날마다 나눠서 받아요.

이자는 돈을 빌리거나 맡긴 기간 등에 따라 달라져요.

✔ 함께 알면 좋은 말 : 금리, 이율
이렇게 쓰여요 😃 3년 전에 은행 계좌에 돈을 넣어 뒀었는데 오늘 보니 돈이 조금 늘어나 있었어!
🤗 원래 맡긴 돈에 이자가 더해졌나 보다. 축하해!"
보수,"이런 뜻이에요 건물이나 시설의 낡은 부분을 고치는 것.
이렇게 쓰여요 😀 자주 가는 도서관이 보수 공사 중이어서 다른 도서관에 가려고 해.
🤗 그러고 보니 그 도서관이 지어진 지 벌써 20년이 넘은 것 같아!"
착불,"이런 뜻이에요  택배로 물건을 받은 다음 돈을 내는 것.

착着 : 도착하다
불拂 : 돈을 내다

✔ 함께 알면 좋은 말 : 선불
이렇게 쓰여요 😁 택배 왔습니다. 착불이라 배송비를 내 주셔야 해요.
🤗 네! 얼마인가요?"
